route,beacon_index,lat,lon,is_endpoint
"81 St & N T 4.gpx",0,40.788893,-73.962108,1
"81 St & N T 4.gpx",1,40.789000464628295,-73.9619452603302,0
"81 St & N T 4.gpx",2,40.78913135894846,-73.96162795067472,0
"81 St & N T 4.gpx",3,40.789199,-73.961337,1
"81 St & N T 5.gpx",0,40.788893,-73.962108,1
"81 St & N T 5.gpx",1,40.78903031174858,-73.96188461068043,0
"81 St & N T 5.gpx",2,40.789157,-73.961529,1
"81 St & N T1.gpx",0,40.791221,-73.962425,1
"81 St & N T1.gpx",1,40.79118680933886,-73.96221316991051,0
"81 St & N T1.gpx",2,40.791043,-73.961933,1
"81 St & N T2.gpx",0,40.791543,-73.964564,1
"81 St & N T2.gpx",1,40.79144524538489,-73.96438947757416,0
"81 St & N T2.gpx",2,40.791349,-73.964325,1
"81 St & N T3.gpx",0,40.789394,-73.963891,1
"81 St & N T3.gpx",1,40.78939811737907,-73.96383064477745,0
"81 St & N T3.gpx",2,40.789836,-73.963874,1
"97 St & N T1.gpx",0,40.791783,-73.962276,1
"97 St & N T1.gpx",1,40.791876359496804,-73.96220247566738,0
"97 St & N T1.gpx",2,40.79208819592004,-73.96214287967496,0
"97 St & N T1.gpx",3,40.79215747289458,-73.96203245082039,0
"97 St & N T1.gpx",4,40.792218,-73.961815,1
"97 St & N T2.gpx",0,40.795925,-73.961371,1
"97 St & N T2.gpx",1,40.79674210264774,-73.96077889807768,0
"97 St & N T2.gpx",2,40.796761378308865,-73.96073261266338,0
"97 St & N T2.gpx",3,40.79680935889193,-73.96069757922176,0
"97 St & N T2.gpx",4,40.79684864917814,-73.96070132873491,0
"97 St & N T2.gpx",5,40.79877132821627,-73.95930826247508,0
"97 St & N T2.gpx",6,40.79929552190344,-73.95891491942966,0
"97 St & N T2.gpx",7,40.7995297836134,-73.95872694836922,0
"97 St & N T2.gpx",8,40.80015223458122,-73.9582684087748,0
"97 St & N T2.gpx",9,40.800187738280165,-73.95821546972957,0
"97 St & N T2.gpx",10,40.80019905009039,-73.95814488943955,0
"97 St & N T2.gpx",11,40.800207082441254,-73.95807327863899,0
"97 St & N T2.gpx",12,40.800220885772866,-73.95800357598056,0
"97 St & N T2.gpx",13,40.800258486167245,-73.95786770355402,0
"97 St & N T2.gpx",14,40.80031198972014,-73.95774204625936,0
"97 St & N T2.gpx",15,40.8003006011704,-73.95767318722628,0
"97 St & N T2.gpx",16,40.79924143050865,-73.95513666519352,0
"97 St & N T2.gpx",17,40.79817416191817,-73.95260609888852,0
"97 St & N T2.gpx",18,40.79710633764768,-73.95007599340488,0
