Pharos in-app beacon placement (pedestrian route -> autotune, 5ft drift, 20ft step)
Beacons listed as lat, lon (same order as the source sheet).
==============================================================================

### 81 St & N T 4.gpx
  route 244 ft via osrm-foot/bike | 4 beacons | worst drift 2.3 ft | angle 6°, cap 120, min-spacing none
   1. 40.788893, -73.962108
   2. 40.789000, -73.961945
   3. 40.789131, -73.961628
   4. 40.789199, -73.961337

### 81 St & N T 5.gpx
  route 189 ft via osrm-foot/bike | 3 beacons | worst drift 3.7 ft | angle 8°, cap 120, min-spacing none
   1. 40.788893, -73.962108
   2. 40.789030, -73.961885
   3. 40.789157, -73.961529

### 81 St & N T1.gpx
  route 154 ft via osrm-foot/bike | 3 beacons | worst drift 3.0 ft | angle 1°, cap 60, min-spacing 50
   1. 40.791221, -73.962425
   2. 40.791187, -73.962213
   3. 40.791043, -73.961933

### 81 St & N T2.gpx
  route 99 ft via osrm-foot/bike | 3 beacons | worst drift 0.5 ft | angle 1°, cap 60, min-spacing none
   1. 40.791543, -73.964564
   2. 40.791445, -73.964389
   3. 40.791349, -73.964325

### 81 St & N T3.gpx
  route 180 ft via osrm-foot/bike | 3 beacons | worst drift 3.7 ft | angle 6°, cap 200, min-spacing none
   1. 40.789394, -73.963891
   2. 40.789398, -73.963831
   3. 40.789836, -73.963874

### 97 St & N T1.gpx
  route 224 ft via osrm-foot/bike | 5 beacons | worst drift 3.8 ft | angle 3°, cap 90, min-spacing 30
   1. 40.791783, -73.962276
   2. 40.791876, -73.962202
   3. 40.792088, -73.962143
   4. 40.792157, -73.962032
   5. 40.792218, -73.961815

### 97 St & N T2.gpx
  route 10303 ft via osrm-foot/bike | 147 beacons | worst drift 3.0 ft | angle 1°, cap 800, min-spacing none
   1. 40.795925, -73.961371
   2. 40.796742, -73.960779
   3. 40.796761, -73.960733
   4. 40.796809, -73.960698
   5. 40.796849, -73.960701
   6. 40.798771, -73.959308
   7. 40.799296, -73.958915
   8. 40.799530, -73.958727
   9. 40.800152, -73.958268
  10. 40.800188, -73.958215
  11. 40.800199, -73.958145
  12. 40.800207, -73.958073
  13. 40.800221, -73.958004
  14. 40.800258, -73.957868
  15. 40.800312, -73.957742
  16. 40.800301, -73.957673
  17. 40.799241, -73.955137
  18. 40.798174, -73.952606
  19. 40.797106, -73.950076
  20. 40.797001, -73.949822
  21. 40.796971, -73.949763
  22. 40.796919, -73.949772
  23. 40.796867, -73.949794
  24. 40.796813, -73.949801
  25. 40.796760, -73.949786
  26. 40.796710, -73.949756
  27. 40.796670, -73.949707
  28. 40.796641, -73.949646
  29. 40.796596, -73.949607
  30. 40.794676, -73.951004
  31. 40.792755, -73.952402
  32. 40.791795, -73.953102
  33. 40.791779, -73.953077
  34. 40.791826, -73.953044
  35. 40.791917, -73.953225
  36. 40.792049, -73.953457
  37. 40.792091, -73.953503
  38. 40.792187, -73.953572
  39. 40.792533, -73.953783
  40. 40.792569, -73.953838
  41. 40.792642, -73.953946
  42. 40.792729, -73.954130
  43. 40.792761, -73.954188
  44. 40.792796, -73.954245
  45. 40.792835, -73.954295
  46. 40.792925, -73.954378
  47. 40.793022, -73.954445
  48. 40.793072, -73.954474
